# r_A g_r
2.300625000000000239e-02 0.000000000000000000e+00
6.901875000000000371e-02 0.000000000000000000e+00
1.150312500000000016e-01 0.000000000000000000e+00
1.610437500000000133e-01 0.000000000000000000e+00
2.070562500000000250e-01 0.000000000000000000e+00
2.530687500000000090e-01 0.000000000000000000e+00
2.990812500000000207e-01 0.000000000000000000e+00
3.450937500000000324e-01 0.000000000000000000e+00
3.911062500000000441e-01 0.000000000000000000e+00
4.371187500000000559e-01 0.000000000000000000e+00
4.831312500000000121e-01 0.000000000000000000e+00
5.291437500000000238e-01 0.000000000000000000e+00
5.751562500000000355e-01 0.000000000000000000e+00
6.211687500000000473e-01 0.000000000000000000e+00
6.671812500000000590e-01 0.000000000000000000e+00
7.131937500000000707e-01 0.000000000000000000e+00
7.592062500000000824e-01 0.000000000000000000e+00
8.052187500000000941e-01 0.000000000000000000e+00
8.512312500000001059e-01 0.000000000000000000e+00
8.972437500000001176e-01 0.000000000000000000e+00
9.432562500000001293e-01 0.000000000000000000e+00
9.892687500000001410e-01 0.000000000000000000e+00
1.035281250000000153e+00 0.000000000000000000e+00
1.081293749999999942e+00 0.000000000000000000e+00
1.127306250000000176e+00 0.000000000000000000e+00
1.173318749999999966e+00 0.000000000000000000e+00
1.219331250000000200e+00 0.000000000000000000e+00
1.265343749999999989e+00 0.000000000000000000e+00
1.311356250000000223e+00 0.000000000000000000e+00
1.357368750000000013e+00 0.000000000000000000e+00
1.403381250000000247e+00 0.000000000000000000e+00
1.449393750000000036e+00 0.000000000000000000e+00
1.495406250000000270e+00 0.000000000000000000e+00
1.541418750000000060e+00 0.000000000000000000e+00
1.587431250000000293e+00 0.000000000000000000e+00
1.633443750000000083e+00 0.000000000000000000e+00
1.679456250000000317e+00 0.000000000000000000e+00
1.725468750000000107e+00 0.000000000000000000e+00
1.771481250000000340e+00 0.000000000000000000e+00
1.817493750000000130e+00 0.000000000000000000e+00
1.863506250000000364e+00 0.000000000000000000e+00
