# r_A g_r
2.278125000000000289e-02 0.000000000000000000e+00
6.834375000000000866e-02 0.000000000000000000e+00
1.139062500000000144e-01 0.000000000000000000e+00
1.594687500000000202e-01 0.000000000000000000e+00
2.050312500000000260e-01 0.000000000000000000e+00
2.505937500000000595e-01 0.000000000000000000e+00
2.961562500000000098e-01 0.000000000000000000e+00
3.417187500000000711e-01 0.000000000000000000e+00
3.872812500000000213e-01 0.000000000000000000e+00
4.328437500000000826e-01 0.000000000000000000e+00
4.784062500000000884e-01 0.000000000000000000e+00
5.239687500000000941e-01 0.000000000000000000e+00
5.695312500000000444e-01 0.000000000000000000e+00
6.150937499999999947e-01 0.000000000000000000e+00
6.606562500000001670e-01 0.000000000000000000e+00
7.062187500000001172e-01 0.000000000000000000e+00
7.517812500000000675e-01 0.000000000000000000e+00
7.973437500000000178e-01 0.000000000000000000e+00
8.429062500000001901e-01 0.000000000000000000e+00
8.884687500000001403e-01 0.000000000000000000e+00
9.340312500000000906e-01 0.000000000000000000e+00
9.795937500000001519e-01 0.000000000000000000e+00
1.025156250000000213e+00 0.000000000000000000e+00
1.070718750000000163e+00 0.000000000000000000e+00
1.116281250000000114e+00 0.000000000000000000e+00
1.161843750000000064e+00 0.000000000000000000e+00
1.207406250000000014e+00 0.000000000000000000e+00
1.252968750000000187e+00 0.000000000000000000e+00
1.298531250000000137e+00 0.000000000000000000e+00
1.344093750000000309e+00 0.000000000000000000e+00
1.389656250000000259e+00 0.000000000000000000e+00
1.435218750000000210e+00 0.000000000000000000e+00
1.480781250000000160e+00 0.000000000000000000e+00
1.526343750000000110e+00 0.000000000000000000e+00
1.571906250000000060e+00 0.000000000000000000e+00
1.617468750000000233e+00 0.000000000000000000e+00
1.663031250000000183e+00 0.000000000000000000e+00
1.708593750000000355e+00 0.000000000000000000e+00
1.754156250000000306e+00 0.000000000000000000e+00
1.799718750000000256e+00 0.000000000000000000e+00
1.845281250000000206e+00 0.000000000000000000e+00
1.890843750000000156e+00 0.000000000000000000e+00
1.936406250000000107e+00 0.000000000000000000e+00
1.981968750000000501e+00 0.000000000000000000e+00
2.027531250000000451e+00 0.000000000000000000e+00
2.073093750000000401e+00 0.000000000000000000e+00
2.118656250000000352e+00 0.000000000000000000e+00
2.164218750000000302e+00 0.000000000000000000e+00
2.209781250000000252e+00 0.000000000000000000e+00
2.255343750000000203e+00 0.000000000000000000e+00
2.300906250000000153e+00 0.000000000000000000e+00
2.346468750000000103e+00 0.000000000000000000e+00
2.392031250000000497e+00 0.000000000000000000e+00
2.437593750000000448e+00 0.000000000000000000e+00
2.483156250000000398e+00 0.000000000000000000e+00
2.528718750000000348e+00 0.000000000000000000e+00
2.574281250000000298e+00 9.581473454759015891e-04
2.619843750000000249e+00 2.708050092669486361e-02
2.665406250000000199e+00 2.773071499332910306e-01
2.710968750000000149e+00 1.487666158716612230e+00
2.756531250000000544e+00 4.327392018027853560e+00
2.802093750000000494e+00 7.852176672108409861e+00
2.847656250000000444e+00 9.726591722901154924e+00
2.893218750000000394e+00 8.545086170777500101e+00
2.938781250000000345e+00 5.636566456661690871e+00
2.984343750000000295e+00 2.881272240163990084e+00
3.029906250000000245e+00 1.168069816537501193e+00
3.075468750000000195e+00 3.952781994464688031e-01
3.121031250000000590e+00 9.837017777996481804e-02
3.166593750000000540e+00 2.239321776001860359e-02
3.212156250000000490e+00 4.083956779976634192e-03
3.257718750000000441e+00 9.790321028317547358e-04
3.303281250000000391e+00 0.000000000000000000e+00
3.348843750000000341e+00 0.000000000000000000e+00
3.394406250000000291e+00 0.000000000000000000e+00
3.439968750000000242e+00 0.000000000000000000e+00
3.485531250000000636e+00 0.000000000000000000e+00
3.531093750000000586e+00 4.629489529611875682e-05
3.576656250000000536e+00 4.512292017888162464e-05
3.622218750000000487e+00 1.319846753873565035e-04
3.667781250000000437e+00 1.201441922213613992e-03
3.713343750000000387e+00 6.028146327165209706e-03
3.758906250000000338e+00 2.688156244422143515e-02
3.804468750000000288e+00 8.945257233441122890e-02
3.850031250000000682e+00 2.610700780090316475e-01
3.895593750000000632e+00 5.932984281766482404e-01
3.941156250000000583e+00 1.088711030893018794e+00
3.986718750000000533e+00 1.619958723510796172e+00
4.032281250000000483e+00 1.937650943089915145e+00
4.077843750000001322e+00 1.897370406192786296e+00
4.123406250000000384e+00 1.456657271794081332e+00
4.168968750000001222e+00 9.082138752304669271e-01
4.214531250000000284e+00 4.642625917505762145e-01
4.260093750000001123e+00 1.830453148892061677e-01
